document_name,processing_date,parse.job_id,parse.model_version,parse.page_count,parse.output_markdown_chars,parse.range_units,parse.openapi_spec,parse.failed_pages,parse.duration_ms,parse.billing.service_tier,parse.billing.total_credits,extract.job_id,extract.model_version,extract.duration_ms,extract.doc_id,extract.range_units,extract.input_markdown_chars,extract.output_extraction_chars,extract.openapi_spec,extract.billing.service_tier,extract.billing.total_credits
CME_Mendez_ex1,2026-07-21,parse-01ky2n9wv2bnfnrjzrt556g7qa,dpt-3-pro-20260710,1,1002,unicode_codepoints,https://api.ade.landing.ai/openapi.json,[],12045,standard,0.8,extract-01ky2nadw8xywsd1yvydnj51fh,extract-20260710,35206,parse-01ky2n9wv2bnfnrjzrt556g7qa,unicode_codepoints,1002,354,https://api.ade.landing.ai/openapi.json,standard,0.6
CME_Mendez_ex2,2026-07-21,parse-01ky2s66kghym0xfz76dqyqfgc,dpt-3-pro-20260710,1,1566,unicode_codepoints,https://api.ade.landing.ai/openapi.json,[],11951,standard,0.9,extract-01ky2s6nhjs4xy6kwgxxwkdk97,extract-20260710,47032,parse-01ky2s66kghym0xfz76dqyqfgc,unicode_codepoints,1566,305,https://api.ade.landing.ai/openapi.json,standard,0.7
CME_Mendez_ex3,2026-07-21,parse-01ky2s6772yjtc3en9y83a5dkp,dpt-3-pro-20260710,1,539,unicode_codepoints,https://api.ade.landing.ai/openapi.json,[],8873,standard,0.7,extract-01ky2s6p1a860658rg8pg6v86k,extract-20260710,62591,parse-01ky2s6772yjtc3en9y83a5dkp,unicode_codepoints,539,344,https://api.ade.landing.ai/openapi.json,standard,0.5
CME_Mendez_ex4,2026-07-21,parse-01ky2s67wrg815ynppxb50bppz,dpt-3-pro-20260710,1,957,unicode_codepoints,https://api.ade.landing.ai/openapi.json,[],9053,standard,0.8,extract-01ky2s6phqyrfkzea6bc4pwjn6,extract-20260710,75130,parse-01ky2s67wrg815ynppxb50bppz,unicode_codepoints,957,355,https://api.ade.landing.ai/openapi.json,standard,0.6
CME_Mendez_ex5,2026-07-21,parse-01ky2s68jwb66tp4wg6vdc1b6q,dpt-3-pro-20260710,1,691,unicode_codepoints,https://api.ade.landing.ai/openapi.json,[],9254,standard,0.7,extract-01ky2s6pzat0tdd3xs9524ewfy,extract-20260710,44682,parse-01ky2s68jwb66tp4wg6vdc1b6q,unicode_codepoints,691,317,https://api.ade.landing.ai/openapi.json,standard,0.5
