document_name,processing_date,parse.job_id,parse.model_version,parse.page_count,parse.output_markdown_chars,parse.range_units,parse.openapi_spec,parse.failed_pages,parse.duration_ms,parse.billing.service_tier,parse.billing.total_credits,extract.job_id,extract.model_version,extract.duration_ms,extract.doc_id,extract.range_units,extract.input_markdown_chars,extract.output_extraction_chars,extract.openapi_spec,extract.billing.service_tier,extract.billing.total_credits
alexandre_yogurt,2026-07-21,parse-01ky3peaajdfa484w5h1f4rw8s,dpt-3-pro-20260710,1,514,unicode_codepoints,https://api.ade.landing.ai/openapi.json,[],11382,standard,0.7,extract-01ky3pf19h4wccs3h5qjf9e9mp,extract-20260710,30039,parse-01ky3peaajdfa484w5h1f4rw8s,unicode_codepoints,514,738,https://api.ade.landing.ai/openapi.json,standard,0.9
chomps,2026-07-21,parse-01ky3peazg20bpq7ervy7drxf1,dpt-3-pro-20260710,1,728,unicode_codepoints,https://api.ade.landing.ai/openapi.json,[],13119,standard,0.7,extract-01ky3pf1tfj365c98ar4pap675,extract-20260710,30303,parse-01ky3peazg20bpq7ervy7drxf1,unicode_codepoints,728,706,https://api.ade.landing.ai/openapi.json,standard,0.9
force_of_nature_beef,2026-07-21,parse-01ky3pebj0fnnq8nkkwd8a2sve,dpt-3-pro-20260710,1,1175,unicode_codepoints,https://api.ade.landing.ai/openapi.json,[],14021,standard,0.8,extract-01ky3pf2bj4f3ax1g7f48cw2de,extract-20260710,28683,parse-01ky3pebj0fnnq8nkkwd8a2sve,unicode_codepoints,1175,743,https://api.ade.landing.ai/openapi.json,standard,1.0
garden_of_life_collagen,2026-07-21,parse-01ky3pec3qy0fznv9jw667q6f1,dpt-3-pro-20260710,1,836,unicode_codepoints,https://api.ade.landing.ai/openapi.json,[],10873,standard,0.7,extract-01ky3pf2v5jjeejck9v29xb3gm,extract-20260710,22045,parse-01ky3pec3qy0fznv9jw667q6f1,unicode_codepoints,836,779,https://api.ade.landing.ai/openapi.json,standard,1.0
goji,2026-07-21,parse-01ky3pecmzdxrat4d9j1wtme2k,dpt-3-pro-20260710,1,429,unicode_codepoints,https://api.ade.landing.ai/openapi.json,[],9509,standard,0.6,extract-01ky3pf3ax4byqk4wnsh0d090y,extract-20260710,28559,parse-01ky3pecmzdxrat4d9j1wtme2k,unicode_codepoints,429,709,https://api.ade.landing.ai/openapi.json,standard,0.8
teton_hot_dogs,2026-07-21,parse-01ky3ped70n7e1qg5h416j2rvh,dpt-3-pro-20260710,1,1945,unicode_codepoints,https://api.ade.landing.ai/openapi.json,[],13106,standard,1.0,extract-01ky3pf3tyk8f337y1kbyqa5ah,extract-20260710,29243,parse-01ky3ped70n7e1qg5h416j2rvh,unicode_codepoints,1945,706,https://api.ade.landing.ai/openapi.json,standard,1.1
