document_name,processing_date,parse.job_id,parse.model_version,parse.page_count,parse.output_markdown_chars,parse.range_units,parse.openapi_spec,parse.failed_pages,parse.duration_ms,parse.billing.service_tier,parse.billing.total_credits,extract.job_id,extract.model_version,extract.duration_ms,extract.doc_id,extract.range_units,extract.input_markdown_chars,extract.output_extraction_chars,extract.openapi_spec,extract.billing.service_tier,extract.billing.total_credits
electric1,2026-07-21,parse-01ky3ak7xk4jx9dbktbtm8pb8v,dpt-3-pro-20260710,2,5957,unicode_codepoints,https://api.ade.landing.ai/openapi.json,[],17256,standard,2.5,extract-01ky3am75gt0r8vd3jtns6tjwe,extract-20260710,58877,parse-01ky3ak7xk4jx9dbktbtm8pb8v,unicode_codepoints,5957,825,https://api.ade.landing.ai/openapi.json,standard,2.1
electric2,2026-07-21,parse-01ky3ak8rv7hg55xd8gd06q0ma,dpt-3-pro-20260710,4,13956,unicode_codepoints,https://api.ade.landing.ai/openapi.json,[],18707,standard,5.5,extract-01ky3am7mnd414hzmazyptfy6c,extract-20260710,61654,parse-01ky3ak8rv7hg55xd8gd06q0ma,unicode_codepoints,13956,830,https://api.ade.landing.ai/openapi.json,standard,3.7
electric3,2026-07-21,parse-01ky3ak9f53ck7cdmsk6nmz2ag,dpt-3-pro-20260710,2,8650,unicode_codepoints,https://api.ade.landing.ai/openapi.json,[],17475,standard,3.2,extract-01ky3am83jkwqjpwnj8p57qbr9,extract-20260710,35003,parse-01ky3ak9f53ck7cdmsk6nmz2ag,unicode_codepoints,8650,806,https://api.ade.landing.ai/openapi.json,standard,2.6
electric4,2026-07-21,parse-01ky3aka1tabyy0v53b7kjprtz,dpt-3-pro-20260710,3,9614,unicode_codepoints,https://api.ade.landing.ai/openapi.json,[],18018,standard,3.9,extract-01ky3am8jvbrgtwj782t0jdwg8,extract-20260710,53540,parse-01ky3aka1tabyy0v53b7kjprtz,unicode_codepoints,9614,821,https://api.ade.landing.ai/openapi.json,standard,2.8
electric5,2026-07-21,parse-01ky3akav3pdsjcz016ncwb0q2,dpt-3-pro-20260710,1,6058,unicode_codepoints,https://api.ade.landing.ai/openapi.json,[],21282,standard,2.1,extract-01ky3am91qkb1w1gtz9hpddjbs,extract-20260710,58159,parse-01ky3akav3pdsjcz016ncwb0q2,unicode_codepoints,6058,806,https://api.ade.landing.ai/openapi.json,standard,2.1
electric6,2026-07-21,parse-01ky3akbgna1me65a0bffqx2tz,dpt-3-pro-20260710,2,6983,unicode_codepoints,https://api.ade.landing.ai/openapi.json,[],18286,standard,2.8,extract-01ky3am9jfdj1cxzt2n78zdw2j,extract-20260710,40706,parse-01ky3akbgna1me65a0bffqx2tz,unicode_codepoints,6983,814,https://api.ade.landing.ai/openapi.json,standard,2.3
electric_A,2026-07-21,parse-01ky3ak72yz34psck1hj11wzsz,dpt-3-pro-20260710,1,3044,unicode_codepoints,https://api.ade.landing.ai/openapi.json,[],18109,standard,1.3,extract-01ky3am6q5r6qdgw8zw230gzsr,extract-20260710,51783,parse-01ky3ak72yz34psck1hj11wzsz,unicode_codepoints,3044,824,https://api.ade.landing.ai/openapi.json,standard,1.5
electric_B,2026-07-21,parse-01ky3ak6b5twktk971mayb1vdy,dpt-3-pro-20260710,1,4170,unicode_codepoints,https://api.ade.landing.ai/openapi.json,[],22136,standard,1.6,extract-01ky3am688fqhrfcgp3yf8qzer,extract-20260710,62067,parse-01ky3ak6b5twktk971mayb1vdy,unicode_codepoints,4170,794,https://api.ade.landing.ai/openapi.json,standard,1.7
electric_C,2026-07-21,parse-01ky3aawm36dsgdzpd9hhwh88c,dpt-3-pro-20260710,1,3038,unicode_codepoints,https://api.ade.landing.ai/openapi.json,[],20139,standard,1.3,extract-01ky3abka227a0096q8d7zcw5v,extract-20260710,63421,parse-01ky3aawm36dsgdzpd9hhwh88c,unicode_codepoints,3038,798,https://api.ade.landing.ai/openapi.json,standard,1.5
